Screaming Circuits SMD component position file.,,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,,
,,,,,
"Centroid Data for pc board: ""BLEduino.brd"" as of: 2/24/14 3:44 AM",,,,,
Measurements are in inches. Comma delimited,,,,,
Only surface mount components included,,,,,
,,,,,
RefDes,Layer,LocationX,LocationY,Rotation,Comments
B1,Top,1.599,0.66,0,
BLE_CONN,Top,1.36,0.345,270,
C1,Bottom,1.38,0.58,90,
C2,Bottom,1.27,0.74,0,
C3,Bottom,1.208,0.668,180,
C4,Bottom,1.28,0.83,90,
C5,Bottom,0.57,0.763,0,
C6,Bottom,0.49,0.54,180,
C7,Bottom,0.57,0.54,0,
C8,Top,1.58,0.74,180,Unpopulated
C9,Top,0.356,0.425,0,
C10,Bottom,0.99,0.908,90,
C11,Bottom,1.03,0.908,90,
C12,Bottom,1.03,0.83,270,
C13,Bottom,1.19,0.83,90,
C14,Bottom,0.324,0.376,0,
C15,Top,1.56,0.8,270,
C16,Top,1.21,0.75,180,
C17,Top,1.19,0.66,180,
C18,Top,1.19,0.7,180,
C20,Top,1.1,0.75,0,
C21,Top,1.11,0.51,0,
C22,Top,1.23,0.532,270,
C23,Top,1.595,0.59,90,
C24,Top,1.16,0.9,90,
C27,Top,1.48,0.9,90,
C28,Top,1.21,0.879,90,
C29,Top,1.4,0.88,270,
C30,Top,0.96,0.654,90,
C31,Top,0.603,0.716,180,
C32,Top,0.6,0.49,180,
C33,Top,0.603,0.675,0,
D1,Bottom,0.94,0.908,90,
F2,Top,0.294,0.365,180,
JP2,Top,1.52,0.45,0,Fiducial Top
JP5,Top,1.02,0.8,0,Fiducial Top
JP6,Top,0.29,0.99,0,Fiducial Top
L,Top,0.6,0.45,90,
L1,Top,1.6,0.799,90,
L2,Bottom,0.55,0.64,270,
L5,Top,1.21,0.81,180,
L6,Top,1.11,0.88,90,
NRF8001,Top,1.38,0.64,270,
ON,Top,0.51,0.38,180,
Q1,Top,0.88,0.89,90,
Q2,Top,1.05,0.42,90,
Q3,Top,0.87,0.42,90,
R1,Bottom,0.89,0.908,90,
R2,Top,0.356,0.465,180,
R3,Top,0.45,0.67,180,
R4,Bottom,0.953,0.367,180,
R5,Top,0.51,0.47,270,
R6,Top,0.69,0.35,180,
R7,Top,0.69,0.4,180,
R8,Top,0.69,0.45,180,
R9,Bottom,1.47,0.642,180,
R10,Top,0.45,0.63,180,
R11,Top,1.48,0.82,90,
R12,Top,0.85,0.81,180,
R13,Top,1.557,0.516,90,
R14,Top,1.34,0.41,90,
R15,Top,1.516,0.517,90,
R16,Top,1.38,0.41,90,
R18,Top,0.93,0.81,180,
R19,Top,1.27,0.345,180,
R21,Top,1.1,0.34,180,
R22,Top,1.02,0.34,180,
R23,Top,0.91,0.34,180,
R24,Top,0.83,0.34,180,
RESET,Top,0.6,0.89,0,
RX,Top,0.6,0.4,90,
SJ1,Top,0.51,0.54,270,
T1,Bottom,1.48,0.39,0,
T2,Bottom,1.48,0.55,180,
TX,Top,0.6,0.35,90,
U$28,Bottom,0.33,0.64,0,Fiducial Bottom
U$29,Bottom,1.23,0.92,0,Fiducial Bottom
U$53,Bottom,1.58,0.79,0,Fiducial Bottom
U1,Bottom,0.82,0.64,225,
U2,Bottom,1.237,0.46,90,
U3,Top,0.82,0.64,0,
U4,Bottom,1.36,0.83,180,
X1,Top,0.62,0.583,90,
X2,Top,0.24,0.64,270,
X3,Bottom,1.11,0.87,270,
X4,Top,1.306,0.9,180,
Y5,Top,1.107,0.63,270,
Z1,Top,0.44,0.54,270,
Z2,Top,0.45,0.715,0,
